,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
1238,Ready to Rumble,20697,12372410,24000000,4.7,51.0,5.0,"['Action', 'Comedy', 'Drama']","['David Arquette', 'Scott Caan', 'Oliver Platt']","[2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 0, 2, 0, 2]","['wrestling', 'sport']",2000-04-07,15,4,2,21
1239,Return to Me,2621,36609995,24000000,6.1,68.0,6.0,"['Romance', 'Comedy', 'Drama']","['David Duchovny', 'Minnie Driver', ""Carroll O'Connor""]","[2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 0, 0, 0, 2]","['transplantation', ""love of one's life"", 'veterinarian', 'woman director']",2000-04-07,8,4,3,15
1240,Rules of Engagement,10479,71000000,60000000,6.0,178.0,6.0,"['Action', 'Adventure', 'Drama', 'History', 'War']","['Tommy Lee Jones', 'Samuel L. Jackson', 'Guy Pearce']","[2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","['vietnam veteran', 'wound', 'court case', 'colony', 'life-saver', 'lawyer']",2000-04-07,9,1,0,10
1241,Force 10 from Navarone,17339,7230000,5000000,6.4,94.0,6.0,"['Action', 'Adventure', 'War', 'Thriller']","['Harrison Ford', 'Robert Shaw', 'Barbara Bach']","[2, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0]","['gun', 'traitor', 'nazis', 'bridge', 'major', 'colonel', 'blood', 'sergeant', 'battle', 'partisan', 'woman', 'task force', 'keith mallory']",1978-11-01,9,1,3,13
1242,Arthur,13665,95461682,7000000,6.5,125.0,6.0,"['Comedy', 'Drama', 'Romance']","['Dudley Moore', 'Liza Minnelli', 'John Gielgud']","[2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 0, 2]","['new york city', 'comic drunk']",1981-07-17,7,4,1,12
1243,Bachelor Party,12309,38435947,6000000,5.8,156.0,6.0,['Comedy'],"['Tom Hanks', 'Tawny Kitaen', 'Adrian Zmed']","[2, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1]","['bachelor', 'loyalty', 'donkey', 'stag night', 'party', 'wedding']",1984-06-29,11,9,1,21
1244,Predator,106,98235548,18000000,7.3,2129.0,7.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['Arnold Schwarzenegger', 'Carl Weathers', 'Elpidia Carrillo']","[2, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2]","['central and south america', 'predator', 'alien', 'stalking', 'invisible', 'commando', '3d']",1987-06-11,9,1,1,11
1245,The Prince of Tides,10333,74787599,30000000,5.9,57.0,6.0,"['Drama', 'Romance']","['Nick Nolte', 'Barbra Streisand', 'Blythe Danner']","[2, 0, 1, 1, 0, 1, 2, 2, 1]","['american football', 'trainer', 'twin sister', 'suppressed past', 'psychiatrist', 'extramarital affair', 'woman director']",1991-12-25,3,4,2,9
1246,American Psycho,1359,34266564,7000000,7.3,2128.0,7.0,"['Thriller', 'Drama', 'Crime']","['Christian Bale', 'Willem Dafoe', 'Jared Leto']","[2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 2, 0, 1, 0, 1]","['based on novel', 'wall street', 'psychopath', 'white collar', 'harvard business school', 'child of divorce', 'unreliable narrator', 'woman director', 'voice imitation']",2000-04-13,8,8,3,19
1247,Keeping the Faith,4967,37036004,30000000,5.9,161.0,6.0,['Comedy'],"['Ben Stiller', 'Edward Norton', 'Jenna Elfman']","[2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2]","['love triangle', 'rabbi', 'priest', 'catholicism']",2000-04-14,7,5,0,12
1248,East Is East,10557,28200000,3800000,6.5,60.0,6.0,['Comedy'],"['Om Puri', 'Linda Bassett', 'Ian Aspinall']","[2, 1, 0, 2, 1, 0, 2, 1, 2, 2, 1, 0, 2, 2, 0, 0, 2, 2, 2, 0, 1]","['islam', 'hippie', 'father son relationship', 'muslim', 'jealousy', 'tradition', 'culture clash', 'religious education', 'modern society', 'pakistani', 'daughter', 'faith', 'integration', 'cultural difference']",1999-05-14,10,5,6,21
1249,Marathon Man,10518,21709020,6500000,7.2,227.0,7.0,['Thriller'],"['Dustin Hoffman', 'Laurence Olivier', 'Roy Scheider']","[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 1]","['sex', 'based on novel', 'nudity', 'nazis', 'government', 'war', 'history', 'conspiracy', 'student', 'theft', 'criminal', 'diamond', 'agent', 'rogue', 'international']",1976-10-05,10,2,1,13
1250,Caddyshack,11977,39846344,6000000,6.7,370.0,7.0,['Comedy'],"['Chevy Chase', 'Rodney Dangerfield', 'Ted Knight']","[2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0]","['golf', 'underwear', 'sport', 'golf course', 'gopher']",1980-07-25,9,2,10,21
1251,Gossip,18041,5108820,14000000,5.6,70.0,5.0,"['Drama', 'Mystery', 'Thriller']","['Joshua Jackson', 'James Marsden', 'Kate Hudson']","[2, 2, 1, 1, 2, 2, 2, 1, 2]","['college', 'suspense', 'gossip', 'rumor', 'social experiment']",2000-04-21,6,3,0,9
1252,Love & Basketball,14736,27728118,20000000,7.5,93.0,7.0,"['Action', 'Comedy', 'Drama', 'Romance']","['Chris Warren, Jr.', 'Kyla Pratt', 'Sanaa Lathan']","[2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 1, 2, 2, 0, 1, 1, 1, 2, 1, 1]","['lovers', 'affection', 'sport', 'basketball', 'high school sports', 'relationship', 'woman director']",2000-04-21,7,10,3,20
1253,U-571,3536,127666415,62000000,6.1,345.0,6.0,"['Action', 'Drama', 'Thriller', 'War']","['Matthew McConaughey', 'Bill Paxton', 'Harvey Keitel']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]","['submarine', 'world war ii', 'north atlantic', 'mission']",2000-04-20,10,0,1,11
1254,The Virgin Suicides,1443,10409377,6000000,7.1,841.0,7.0,"['Drama', 'Romance']","['James Woods', 'Kathleen Turner', 'Kirsten Dunst']","[2, 1, 1, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 2, 0, 2, 2, 1, 2, 2]","['michigan', '1970s', 'youth', 'family', 'woman director']",1999-04-21,11,6,3,20
1255,Jennifer Eight,10424,11390479,20000000,5.8,74.0,6.0,"['Crime', 'Drama', 'Mystery']","['Andy Garc\xc3\xada', 'Lance Henriksen', 'Uma Thurman']","[2, 2, 1, 2, 1, 2, 2]","['fight', 'blindness and impaired vision', 'victim', 'suspense', 'serial killer', 'falling in love', 'series of murders', 'police officer', 'surveillance']",1992-11-06,5,2,0,7
1256,The Flintstones in Viva Rock Vegas,889,59468275,83000000,4.4,140.0,5.0,"['Science Fiction', 'Comedy', 'Family', 'Romance']","['Mark Addy', 'Stephen Baldwin', 'Kristen Johnston']","[2, 2, 1, 1, 1, 2, 2, 2, 0, 1, 2, 2, 2, 1]","['waitress', 'marriage proposal', 'flirt', 'stone age', 'best friend', 'dinosaur']",2000-04-28,8,5,1,14
1257,Where the Heart Is,10564,33771174,15000000,6.9,159.0,7.0,"['Comedy', 'Drama', 'Romance']","['Natalie Portman', 'Ashley Judd', 'Stockard Channing']","[1, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 1, 1, 0, 2, 2, 1, 2, 2, 1, 1]","['california', 'baby', 'supermarket', 'oklahoma', 'pregnancy and birth', 'pregnant minor', 'change', 'tennessee', 'unwillingly pregnant', 'teenage pregnancy', 'starting over']",2000-04-27,7,12,2,21
1258,The Big Kahuna,15723,3728888,7000000,6.8,91.0,6.0,"['Comedy', 'Drama']","['Kevin Spacey', 'Danny DeVito', 'Peter Facinelli']","[2, 2, 2, 2, 2, 2, 2, 2]","['religion and supernatural', 'independent film', 'lubricant', 'salesman']",2000-04-28,8,0,0,8
1259,The Idiots,452,7235,2500000,6.7,107.0,6.0,"['Drama', 'Comedy']","['Bodil J\xc3\xb8rgensen', 'Jens Albinus', 'Anne Louise Hassing']","[1, 2, 0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 2, 2, 0, 0]","['mentally disabled', 'social coercions', 'lifestyle', 'commune', 'test of courage', 'idiot', 'publicity', 'self-awareness', 'staging', 'normality', 'social control', 'mockery', 'simulation', 'bodily disabled person', 'group sex', 'psychology', 'theatre milieu', 'freedom', 'unsimulated sex', 'dogme 95']",1998-04-28,9,2,10,21
1260,Carnosaur,39283,1753979,1000000,3.9,21.0,5.0,"['Horror', 'Science Fiction']","['Diane Ladd', 'Raphael Sbarge', 'Jennifer Runyon']","[1, 2, 1, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 1]","['vegetarian', 'gore', 'dinosaur', 'credit rolling down']",1993-05-21,8,3,4,15
1261,Gladiator,98,457640427,103000000,7.9,5566.0,8.0,"['Action', 'Drama', 'Adventure']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']","[2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2]","['rome', 'gladiator', 'arena', 'senate', 'roman empire', 'emperor', 'slavery', 'battlefield', 'blood', 'ancient world', 'father daughter relationship', 'combat', 'mother son relationship', 'dream sequence', 'chariot', 'philosopher', 'barbarian horde', '2nd century', 'successor']",2000-05-01,17,2,2,21
1262,Human Traffic,11129,4000000,600000,6.8,98.0,6.0,"['Comedy', 'Drama']","['John Simm', 'Danny Dyer', 'Lorraine Pilkington']","[2, 2, 1, 2, 1, 0, 1, 2, 2]","['sex', 'salesclerk', 'fast food restaurant', 'boredom', 'relationship problems', 'party', 'relationship', 'drug', 'alcohol abuse', 'fashion', 'group of friends']",1999-06-04,5,3,1,9
1263,Battlefield Earth,5491,21400000,44000000,3.0,259.0,3.0,"['Action', 'Science Fiction', 'War']","['John Travolta', 'Barry Pepper', 'Forest Whitaker']","[2, 2, 2, 2, 1, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2]","['based on novel', 'post-apocalyptic', 'dystopia', 'mining', 'fighter jet', 'alien invasion', 'scientology', 'cavemen', 'bureaucrat', 'city ruin']",2000-05-10,12,1,3,16
1264,Center Stage,10560,17200925,18000000,6.8,95.0,6.0,"['Drama', 'Music']","['Amanda Schull', 'Zoe Saldana', 'Susan May Pratt']","[1, 1, 1, 2, 1]","['new york', 'competition', 'dancer', 'dance', 'ball', 'career', 'ballet dancer', 'music', 'entrance examination', 'ballet', 'dance teacher']",2000-05-12,1,4,0,5
1265,Hamlet,10688,1568749,2000000,6.0,35.0,6.0,['Drama'],"['Ethan Hawke', 'Kyle MacLachlan', 'Diane Venora']","[2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2]","['shakespeare', 'loss of lover', 'loss of father', 'father murder', 'father', 'independent film', 'hamlet']",2000-05-12,10,3,0,13
1266,Pee-wee's Big Adventure,5683,40940662,6000000,6.6,239.0,6.0,"['Adventure', 'Comedy']","['Paul Reubens', 'E.G. Daily', 'Mark Holton']","[2, 1, 2, 1, 2, 0, 0, 0, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2]","['prenzlauer berg', 'dark comedy', 'dark humor', 'heroes journey', 'pee wee herman', 'paul rubens', 'tim burton']",1985-07-26,10,5,3,18
1267,Dinosaur,10567,354248063,127500000,6.2,563.0,6.0,"['Animation', 'Family']","['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis']","[2, 1, 2, 2, 1, 2, 1, 2, 1, 1]","['cataclysm', 'asteroid', 'leader', 'comet', 'animation', 'prehistoric', 'prehistoric egg', 'dinosaur', 'nesting grounds', 'prehistoric creature', 'prehistoric adventure', 'lemur', 'prehistoric times']",2000-05-19,5,5,0,10
1268,Road Trip,9285,119754278,16000000,5.9,550.0,6.0,"['Comedy', 'Adventure']","['Breckin Meyer', 'Seann William Scott', 'Amy Smart']","[2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 0, 1]","['female nudity', 'sex', 'sexism', 'sperm bank', 'erection', 'blonde', 'road trip', 'sorority', 'politically incorrect', 'pot smoking', 'teen movie', 'teen sex comedy', 'cross country', 'political', 'stoner', 'sperm donor', 'school bus', 'losing money', 'male virgin', 'horniness', 'dorm room', 'sex tape', 'young adult']",2000-05-19,10,6,1,17
1269,The Hollywood Knights,21879,10000000,2500000,6.4,18.0,6.0,['Comedy'],"['Robert Wuhl', 'Tony Danza', 'Fran Drescher']","[2, 2, 1, 1, 1, 2, 2, 2, 2]",['teen movie'],1980-05-30,6,3,0,9
1270,Mission: Impossible II,955,546388105,125000000,5.9,1966.0,6.0,"['Adventure', 'Action', 'Thriller']","['Tom Cruise', 'Dougray Scott', 'Thandie Newton']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 2]","['terror', 'spain', 'cia', 'helicopter', 'secret identity', 'skyscraper', 'undercover', 'island', 'ex-lover', 'secret mission', 'dying and death', 'secret agent', 'computer', 'duel', 'lethal virus', 'violence', 'rescue team', 'agent', 'car', 'research laboratory']",2000-05-24,13,1,3,17
1271,Shanghai Noon,8584,56932305,55000000,6.2,756.0,6.0,"['Adventure', 'Action', 'Comedy', 'Western']","['Jackie Chan', 'Owen Wilson', 'Lucy Liu']","[2, 2, 1, 2, 2, 0, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 0, 0, 0]","['princess', 'sioux', 'travel', 'rescue', 'native american', 'chinese', 'cowboy', 'duringcreditsstinger', '19th century']",2000-05-26,12,5,4,21
1272,The Gold Rush,962,2500000,923000,7.7,308.0,7.0,"['Adventure', 'Comedy', 'Drama']","['Charlie Chaplin', 'Georgia Hale', 'Mack Swain']","[2, 1, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2]","['river', 'gold', 'dance', 'worker', 'cabin', 'gold rush', 'thanksgiving', 'love', 'alaska', 'klondike', 'little tramp', 'dance hall']",1925-06-25,10,1,10,21
1273,On Her Majesty's Secret Service,668,81974493,6500000,6.5,464.0,6.0,"['Adventure', 'Action', 'Thriller']","['George Lazenby', 'Diana Rigg', 'Telly Savalas']","[2, 1, 2, 2, 0, 0, 1, 2, 2, 2, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 1]","['london england', 'suicide', 'england', 'switzerland', 'secret identity', 'new identity', 'honeymoon', 'secret mission', 'secret organization', 'secret lab', 'villain', 'kilt', 'family history', 'title of nobility', 'snow storm', 'daughter', 'espionage', 'killer', 'british secret service', 'skiing', 'alps', 'aftercreditsstinger']",1969-12-12,7,7,7,21
1274,The Spy Who Loved Me,691,185438673,14000000,6.6,515.0,7.0,"['Adventure', 'Action', 'Thriller']","['Roger Moore', 'Barbara Bach', 'Curd J\xc3\xbcrgens']","[2, 1, 2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 1, 2, 0, 1, 2]","['london england', 'submarine', 'england', 'assassination', 'spy', 'cairo', 'terrorist', 'egypt', 'mass murder', 'pyramid', 'russia', 'planned murder', 'secret intelligence service', 'kgb', 'villain', 'nuclear missile', 'tanker', 'sphinx', 'sardinien', 'warhead', 'jet ski', 'utopia', 'murder', 'shark', 'killer', 'british secret service', 'skiing']",1977-07-07,12,5,4,21
1275,Moonraker,698,210308099,34000000,5.9,551.0,6.0,"['Action', 'Adventure', 'Thriller', 'Science Fiction']","['Roger Moore', 'Lois Chiles', 'Michael Lonsdale']","[2, 1, 2, 1, 0, 2, 2, 2, 1, 0, 0, 0, 0, 1, 0, 2, 2, 2, 2]","['venice', 'mass murder', 'space marine', 'space suit', 'marcus square', 'space battle', 'secret base', 'laser', 'utopia', 'space travel', 'boat chase', 'astronaut', 'british secret service', 'weightlessness']",1979-06-26,9,4,6,19
1276,The Man with the Golden Gun,682,97572000,7000000,6.4,533.0,6.0,"['Adventure', 'Action', 'Thriller']","['Roger Moore', 'Christopher Lee', 'Britt Ekland']","[2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 0, 0, 2]","['london england', 'england', 'martial arts', 'assassin', 'exotic island', 'gold', 'hitman', 'secret mission', 'villain', 'bangkok', 'thailand', 'floatplane', 'karate', 'hong kong', 'duel', 'pistol', 'secret service', 'aftercreditsstinger']",1974-12-01,11,3,2,16
1277,Big Momma's House,9600,173959438,30000000,5.6,514.0,6.0,"['Crime', 'Comedy']","['Martin Lawrence', 'Nia Long', 'Paul Giamatti']","[2, 1, 2, 2, 2, 1]","['\xe7\xbb\x9d\xe5\x9c\xb0\xe5\xa5\xb6\xe9\x9c\xb8', '\xe5\x8d\xa7\xe5\xba\x95\xe8\x82\xa5\xe5\xa6\x88', 'big\xe7\x88\x86\xe4\xbb\xbb\xe5\x8a\xa1', '\xe8\xb6\x85\xe7\xba\xa7\xe5\xa6\x88\xe5\xa6\x88']",2000-05-31,4,2,0,6
1278,American Gigolo,2768,22743674,4800000,5.9,137.0,6.0,"['Thriller', 'Drama', 'Crime', 'Romance']","['Richard Gere', 'Lauren Hutton', 'Judith Ransdell']","[2, 1, 0, 2, 1, 1, 1, 2, 2, 2, 0, 2, 1, 1, 2, 2, 2, 2, 2, 1, 0]","['suspicion of murder', 'gigolo', 'callboy']",1980-02-08,11,7,3,21
1279,The Guns of Navarone,10911,28900000,6000000,7.3,191.0,7.0,"['Action', 'Adventure', 'Drama', 'War']","['Gregory Peck', 'David Niven', 'Anthony Quinn']","[2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0]","['based on novel', 'world war ii', 'fort', 'allied', 'army', 'keith mallory']",1961-04-27,15,2,4,21
1280,Stay Tuned,23939,10736401,25000000,6.0,51.0,6.0,"['Comedy', 'Fantasy']","['John Ritter', 'Pam Dawber', 'David Tom']","[2, 1, 2, 0, 2, 2, 2, 2, 1, 2, 1]",['televison'],1992-08-14,7,3,1,11
1281,Blazing Saddles,11072,119500000,2600000,7.2,619.0,7.0,"['Western', 'Comedy']","['Cleavon Little', 'Gene Wilder', 'Harvey Korman']","[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2]","['gun', 'saloon', 'governor', 'marching band', 'comedy', 'western', 'spoof', 'interrupted hanging', 'railroad', 'cowboy', 'western town', 'western spoof', 'ceremony', 'frontier town', 'looking at the camera', 'saloon girl', 'movie reality crossover', 'nietzsche', 'coot', 'self-referential', 'female singer', 'anarchic comedy']",1974-02-07,18,2,1,21
1282,Eraserhead,985,7000000,10000,7.5,500.0,7.0,"['Drama', 'Fantasy', 'Horror', 'Science Fiction']","['Jack Nance', 'Charlotte Stewart', 'Allen Joseph']","[2, 1, 2, 1, 1, 0, 2, 1, 2, 0, 2]","['baby', 'mutant', 'claustrophobia', 'nightmare', 'parents-in-law', 'pencil', 'eraser', 'surrealism', 'independent film', 'torture', 'parallel world', 'cool hair']",1977-03-19,5,4,2,11
1283,For a Few Dollars More,938,15000000,600000,7.8,988.0,8.0,['Western'],"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volont\xc3\xa9']","[2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2]","['bounty hunter', 'rural setting', 'pot smoking', 'beard', 'death', 'mustache', 'spaghetti western', 'sombrero', 'right hand man', 'sidekick', 'piano']",1965-12-18,12,1,8,21
1284,Flatliners,1551,61489265,26000000,6.3,413.0,6.0,"['Drama', 'Horror', 'Science Fiction', 'Thriller']","['Kiefer Sutherland', 'Julia Roberts', 'Kevin Bacon']","[2, 1, 2, 2, 2, 1, 2, 2, 2, 0, 1, 2, 2, 0, 0, 0, 1, 1, 1]","['life and death', 'afterlife', 'swing', 'memory', 'medical student', 'confetti']",1990-08-09,9,6,4,19
1285,Porky's,10246,125728258,4000000,6.1,185.0,6.0,['Comedy'],"['Dan Monahan', 'Mark Herrier', 'Wyatt Knight']","[0, 2, 0, 0, 1, 1, 2, 2, 0, 1, 0, 2, 2, 2, 2, 0, 0, 2, 0, 0, 0]","['male nudity', 'female nudity', 'sex', 'florida', 'virgin', 'nudity', 'stripper', 'redneck', 'school', 'loss of virginity', 'hijinks', 'racism', 'teenager', 'lust', 'mischief', 'peeping tom', 'teaching', 'misadventure', 'duringcreditsstinger', 'voyeur', 'canuxploitation', 'virginity']",1981-11-13,8,3,10,21
1286,Porky's II: The Next Day,19698,33759266,6500000,5.2,61.0,5.0,['Comedy'],"['Dan Monahan', 'Wyatt Knight', 'Mark Herrier']","[0, 0, 2, 2, 0, 2, 1, 2, 0, 0, 2, 2, 2, 1, 0, 2, 0, 0, 2, 2]","['ku klux klan', 'teenager', 'lust', 'mischief', 'religious fanatic', 'teaching', 'misadventure', 'duringcreditsstinger']",1983-06-24,10,2,8,20
1287,Porky's 3: Revenge,23919,20518905,9000000,5.0,48.0,5.0,['Comedy'],"['Dan Monahan', 'Wyatt Knight', 'Tony Ganios']","[0, 0, 2, 2, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 0]","['student', 'teenager', 'mischief', 'misadventure']",1985-03-22,4,3,8,15
1288,Predator 2,169,57120318,35000000,6.0,743.0,6.0,"['Science Fiction', 'Action', 'Thriller']","['Kevin Peter Hall', 'Danny Glover', 'Gary Busey']","[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 1, 1, 0, 2, 2, 1, 2, 2, 2]","['predator', 'war on drugs', 'extraterrestrial technology', 'los angeles', 'invisible']",1990-11-20,15,4,2,21
1289,The Running Man,865,38122105,27000000,6.4,713.0,6.0,"['Action', 'Science Fiction']","['Arnold Schwarzenegger', 'Richard Dawson', 'Mar\xc3\xada Conchita Alonso']","[2, 2, 1, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 1, 2]","['prison', 'chase', 'hunting human beings', 'game show', 'dystopia', 'dystopic future']",1987-11-13,11,2,3,16
1290,Starman,9663,28744356,22000000,6.6,219.0,6.0,"['Action', 'Adventure', 'Romance', 'Science Fiction']","['Jeff Bridges', 'Karen Allen', 'Charles Martin Smith']","[2, 1, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2]","['places and planets', 'widow', 'lovers', 'alien', 'police car', 'cherry pie']",1984-12-13,9,1,3,13
1291,Alien Nation,10128,32155047,16000000,5.9,81.0,6.0,"['Crime', 'Science Fiction', 'Thriller']","['James Caan', 'Mandy Patinkin', 'Terence Stamp']","[2, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 2]","['living together', 'delinquency', 'cop', 'alien invasion']",1988-10-07,10,1,1,12
1292,Mad Max,9659,100000000,400000,6.6,1235.0,7.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Mel Gibson', 'Joanne Samuel', 'Hugh Keays-Byrne']","[2, 1, 2, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['chain', 'baby', 'bridge', 'post-apocalyptic', 'dystopia', 'matter of life and death', 'benzine', 'biker', 'partner', 'truck', 'motorcycle', 'motorcycle gang', 'exploding car', 'ozploitation']",1979-04-12,5,1,12,18
1293,Mad Max 2: The Road Warrior,8810,24600832,2000000,7.3,981.0,7.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Mel Gibson', 'Bruce Spence', 'Michael Preston']","[2, 2, 2, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2]","['explosive', 'boomerang', 'pilot', 'chase', 'post-apocalyptic', 'dystopia', 'deal', 'survivor', 'feral child', 'australia', 'community', 'ex-cop', 'truck', 'sequel', 'independent film', 'oil', 'wasteland', 'gang rape', 'motorcycle gang', 'violence', 'dog', 'desolate', 'oil refinery', 'disfigurement mask', 'music box', 'oil tanker', 'wanderer', 'ozploitation']",1981-12-24,6,2,10,18
1294,Mad Max Beyond Thunderdome,9355,36230219,12305523,5.9,765.0,6.0,"['Action', 'Adventure', 'Science Fiction']","['Mel Gibson', 'Tina Turner', 'Bruce Spence']","[2, 1, 2, 1, 2, 0, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0]","['arena', 'sandstorm', 'dystopia', 'oasis', 'sequel', 'post nuclear', 'ozploitation']",1985-06-29,7,2,7,16
1295,Angel Heart,635,17185632,17000000,7.0,326.0,7.0,"['Horror', 'Mystery', 'Thriller']","['Mickey Rourke', 'Robert De Niro', 'Lisa Bonet']","[2, 2, 1, 1, 2, 2, 2, 0, 0, 2, 2, 1, 0, 1, 2, 0, 2]","['southern usa', 'amnesia', 'drug addiction', 'new orleans', 'neurosis', 'heart', 'fan', 'sanatorium', 'aggression by animal', 'vision', 'blood', 'church', 'drug', 'demon', 'incest']",1987-03-06,9,4,4,17
1296,Nine 1/2 Weeks,10068,6735922,17000000,5.8,183.0,6.0,"['Drama', 'Romance']","['Mickey Rourke', 'Kim Basinger', 'Margaret Whitton']","[2, 1, 1, 2, 1, 1, 2, 2, 0, 0]","['sexual obsession', 'prostitute', ""women's sexual identity"", 'broker', 'gallery owner', 'sadomasochism']",1986-02-14,4,4,2,10
1297,Firestarter,11495,17080167,15000000,5.9,174.0,6.0,"['Fantasy', 'Drama', 'Horror', 'Action', 'Thriller']","['David Keith', 'Drew Barrymore', 'Freddie Jones']","[2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2]","['fire', 'telepathy', 'intelligence', 'college']",1984-05-11,11,3,1,15
1298,Action Jackson,10117,20256975,7000000,4.9,51.0,5.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']","['Carl Weathers', 'Craig T. Nelson', 'Vanity']","[0, 2, 1, 1, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2]","['showdown', 'suspicion of murder', 'boxer', 'suspension', 'organized crime', 'shootout', 'car chase', 'detroit', 'drug addict', 'one against many', 'megalomaniac', 'maverick cop', 'framed for murder', 'bar fight', 'exploding boat', 'action hero']",1988-02-12,13,2,4,19
1299,Gone in Sixty Seconds,9679,237202299,90000000,6.1,1511.0,6.0,"['Action', 'Crime', 'Thriller']","['Nicolas Cage', 'Angelina Jolie', 'Giovanni Ribisi']","[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 2, 2, 2, 2, 2]","['brother brother relationship', 'detective', 'car race', 'car thief', 'blackmail', 'brother', 'remake', 'heist', 'betrayal', 'organized crime', 'shootout', 'police chase', 'explosion', 'violence', 'lock pick', 'car chase', 'stakeout', 'illegal drugs', 'car movie', 'stolen cars', 'ford mustang', 'blacklight']",2000-06-09,17,3,1,21
